ID,Name,GPA,Department,Level,Email
1,Sondos Ali,3.8,Computer Science,3,sondos@example.com
2,Ahmed Hassan,3.4,Information Systems,2,ahmed@example.com
3,Mona Ibrahim,3.9,Software Engineering,4,mona@example.com
4,Omar Tarek,2.8,Cyber Security,1,omar@example.com
5,Sara Adel,3.6,AI & Data Science,3,sara@example.com
1989,hagar,4,AI,2,Not signed
309,AI,3.99,,1,Not signed
121212,CS,2.8,,4,Not signed
123,AI,4,,2,Not signed
1231,AI,4,,2,Not signed
12343,CS,2.2,,1,Not signed
12123,sondos mohamed,4,AI,2,Not signed
12232,hany fady,2.2,CS,4,Not signed
1212122,sondos,4,AI and cs,2,sondos@hotmail.com
